127.0.0.1 - - [11/Jun/2022:17:37:10 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:11 +0800] "GET /LifeX/logoutServlet?logout=Logout HTTP/1.1" 200 2901
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:11 +0800] "GET /LifeX/logoutServlet?logout=Logout HTTP/1.1" 200 2901
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:11 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:11 +0800] "GET /LifeX/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:11 +0800] "GET /LifeX/RedirectHmPage HTTP/1.1" 200 2901
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:11 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 500 2901
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:11 +0800] "GET /LifeX/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:11 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:12 +0800] "GET /LifeX/images/lifestyle.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:14 +0800] "GET /LifeX/registration.jsp HTTP/1.1" 200 4502
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:14 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:14 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:14 +0800] "GET /LifeX/css/registration.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:38 +0800] "GET /LifeX/Login.jsp HTTP/1.1" 200 2901
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:38 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:38 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [11/Jun/2022:17:37:40 +0800] "GET /LifeX/forgetPassword.jsp HTTP/1.1" 200 6311
