0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:35 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:35 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:35 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:36 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:16:56:38 +0800] "POST /LifeX/OtherUserDetails HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:01:41 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 500 2627
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:01:48 +0800] "GET /LifeX/HomePage.jsp HTTP/1.1" 200 11905
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:01:50 +0800] "POST /LifeX/RedirectFriends HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:01:50 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:01:50 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:01:50 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:01:50 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:01:50 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:01:53 +0800] "POST /LifeX/OtherUserDetails HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:01:53 +0800] "GET /LifeX/otherUserDetails.jsp HTTP/1.1" 200 5395
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:01:53 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:01:53 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:01:54 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:01:54 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:02:31 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 500 2627
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:02:32 +0800] "GET /LifeX/HomePage.jsp HTTP/1.1" 200 11905
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:02:32 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:02:33 +0800] "POST /LifeX/RedirectFriends HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:02:33 +0800] "GET /LifeX/friends.jsp HTTP/1.1" 200 8331
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:02:34 +0800] "GET /bootstrap/js/jquery.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:02:34 +0800] "GET /bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1110
